subject,grasp,acc,mean
1,1,"[0.9, 0.7959183673469388, 0.8612244897959184, 0.8377551020408164, 0.8153061224489796]",0.8420408163265307
1,2,"[0.9255102040816326, 0.8928571428571429, 0.8775510204081632, 0.9132653061224489, 0.860204081632653]",0.8938775510204081
1,3,"[0.8837920489296636, 0.8806122448979592, 0.9316326530612244, 0.8846938775510204, 0.8980632008154944]",0.8957588050510724
1,4,"[0.9347604485219164, 0.8704081632653061, 0.9459183673469388, 0.9010204081632653, 0.8868501529051988]",0.9077915080405251
1,5,"[0.869653767820774, 0.9102040816326531, 0.8744897959183674, 0.8704081632653061, 0.7744897959183673]",0.8598491209110936
1,6,"[0.9316326530612244, 0.976530612244898, 0.9571428571428572, 0.9724489795918367, 0.9418367346938775]",0.9559183673469388
2,1,"[0.6163265306122448, 0.7357142857142858, 0.6316326530612245, 0.673469387755102, 0.6510204081632653]",0.6616326530612244
2,2,"[0.6265306122448979, 0.7336734693877551, 0.6918367346938775, 0.6193877551020408, 0.6479591836734694]",0.6638775510204082
2,3,"[0.6908163265306122, 0.4418367346938776, 0.7030612244897959, 0.613265306122449, 0.6153061224489796]",0.6128571428571429
2,4,"[0.7418367346938776, 0.753061224489796, 0.7346938775510204, 0.726530612244898, 0.6510204081632653]",0.7214285714285714
2,5,"[0.8418367346938775, 0.7673469387755102, 0.8030612244897959, 0.7408163265306122, 0.7846938775510204]",0.7875510204081632
2,6,"[0.6377551020408163, 0.5836734693877551, 0.5653061224489796, 0.6357142857142857, 0.6204081632653061]",0.6085714285714285
3,1,"[0.7071428571428572, 0.7642857142857142, 0.7693877551020408, 0.6887755102040817, 0.736734693877551]",0.7332653061224491
3,2,"[0.7683673469387755, 0.7489795918367347, 0.773469387755102, 0.7071428571428572, 0.7244897959183674]",0.7444897959183673
3,3,"[0.8173469387755102, 0.8673469387755102, 0.7877551020408163, 0.7561224489795918, 0.7377551020408163]",0.7932653061224489
3,4,"[0.8326530612244898, 0.7653061224489796, 0.8459183673469388, 0.8214285714285714, 0.8112244897959183]",0.8153061224489797
3,5,"[0.7857142857142857, 0.8061224489795918, 0.7875383043922369, 0.813265306122449, 0.7397959183673469]",0.786487252715182
3,6,"[0.7163265306122449, 0.7397959183673469, 0.7336734693877551, 0.6755102040816326, 0.6418367346938776]",0.7014285714285714
4,1,"[0.9122448979591836, 0.7040816326530612, 0.9122448979591836, 0.823469387755102, 0.7591836734693878]",0.8222448979591837
4,2,"[0.7326530612244898, 0.7673469387755102, 0.8, 0.6979591836734694, 0.8377551020408164]",0.7671428571428571
4,3,"[0.910295616717635, 0.7010204081632653, 0.8673469387755102, 0.8428571428571429, 0.8622448979591837]",0.8367530008945474
4,4,"[0.8081632653061225, 0.8530612244897959, 0.8255102040816327, 0.7448979591836735, 0.7556237218813906]",0.7974512749885231
4,5,"[0.936734693877551, 0.7959183673469388, 0.9285714285714286, 0.9051020408163265, 0.7663265306122449]",0.866530612244898
4,6,"[0.7316326530612245, 0.8183673469387756, 0.7040816326530612, 0.7285714285714285, 0.7714285714285715]",0.7508163265306123
5,1,"[0.8142857142857143, 0.7826530612244897, 0.8520408163265306, 0.6857142857142857, 0.8448979591836735]",0.7959183673469388
5,2,"[0.7540816326530613, 0.8224489795918367, 0.8010204081632653, 0.686734693877551, 0.6428571428571429]",0.7414285714285713
5,3,"[0.7581632653061224, 0.7693877551020408, 0.8551020408163266, 0.8, 0.8306122448979592]",0.8026530612244898
5,4,"[0.8938775510204081, 0.7285714285714285, 0.9030612244897959, 0.9051020408163265, 0.8530612244897959]",0.8567346938775511
5,5,"[0.8744897959183674, 0.8295918367346938, 0.753061224489796, 0.9173469387755102, 0.8020408163265306]",0.8353061224489796
5,6,"[0.639795918367347, 0.6704081632653062, 0.7122448979591837, 0.710204081632653, 0.8214285714285714]",0.7108163265306123
6,1,"[0.9061224489795918, 0.9173469387755102, 0.9112244897959184, 0.8806122448979592, 0.9122448979591836]",0.9055102040816326
6,2,"[0.9438775510204082, 0.7571428571428571, 0.9377551020408164, 0.9408163265306122, 0.9]",0.8959183673469389
6,3,"[0.9285714285714286, 0.7612244897959184, 0.9377551020408164, 0.8357142857142857, 0.8775510204081632]",0.8681632653061225
6,4,"[0.8959183673469387, 0.8887755102040816, 0.9295918367346939, 0.8540816326530613, 0.8091836734693878]",0.8755102040816327
6,5,"[0.9173469387755102, 0.9193877551020408, 0.9408163265306122, 0.9132653061224489, 0.9142857142857143]",0.9210204081632654
6,6,"[0.7826530612244897, 0.923469387755102, 0.9113149847094801, 0.8989795918367347, 0.8795918367346939]",0.8792017724521001
7,1,"[0.8888888888888888, 0.7887755102040817, 0.8979591836734694, 0.8857142857142857, 0.8173469387755102]",0.8557369614512471
7,2,"[0.8530612244897959, 0.9316326530612244, 0.9489795918367347, 0.8397959183673469, 0.9029622063329928]",0.895286318817619
7,3,"[0.7969387755102041, 0.7969387755102041, 0.8142857142857143, 0.7275510204081632, 0.7438775510204082]",0.7759183673469388
7,4,"[0.8591836734693877, 0.9030612244897959, 0.9132653061224489, 0.9244897959183673, 0.9275510204081633]",0.9055102040816326
7,5,"[0.8765306122448979, 0.9193877551020408, 0.9071428571428571, 0.8581632653061224, 0.7928571428571428]",0.8708163265306123
7,6,"[0.8112244897959183, 0.8877551020408163, 0.9561224489795919, 0.9215086646279307, 0.9153924566768603]",0.8984006324242235
8,1,"[0.8979591836734694, 0.8785714285714286, 0.8540816326530613, 0.7714285714285715, 0.8428571428571429]",0.8489795918367348
8,2,"[0.8561224489795919, 0.8826530612244898, 0.9030612244897959, 0.9275510204081633, 0.7969387755102041]",0.8732653061224489
8,3,"[0.7295918367346939, 0.8295918367346938, 0.8520408163265306, 0.7826530612244897, 0.889795918367347]",0.8167346938775509
8,4,"[0.9255102040816326, 0.7346938775510204, 0.9469387755102041, 0.8775510204081632, 0.9255102040816326]",0.8820408163265305
8,5,"[0.8469387755102041, 0.7540816326530613, 0.9061224489795918, 0.8693877551020408, 0.8122448979591836]",0.8377551020408163
8,6,"[0.8112244897959183, 0.8857142857142857, 0.8581632653061224, 0.8244897959183674, 0.8367346938775511]",0.8432653061224489
